,Scores,Loss,Episode length
0,-212.5296470764485,92.45251274108887,93
1,-404.4528531866411,7668.232089996338,92
2,-259.0703621835271,11372.338556289673,83
3,-332.4724865629309,6352.294225692749,112
4,-201.01563153493834,8237.612117767334,79
5,-24.36012011222634,9673.13980102539,66
6,-34.81990149740808,3948.060598373413,59
7,-327.49736313392134,11789.38473701477,100
8,-54.4505246391966,13426.952262878418,126
9,-149.78112478622597,19700.462654590607,132
10,-451.8629580276935,10960.043911457062,87
11,-181.51648244017343,11104.785197257996,65
12,-142.12626257459806,11918.052696228027,68
13,-69.49089613218,9136.867993354797,66
14,-300.9125318326131,10409.596640586853,66
15,-303.6197518994818,11150.565839767456,97
16,9.419374766871684,12531.633904457092,89
17,-154.01710512889616,9147.227130889893,61
18,-76.1646103988246,5365.969526290894,60
19,-99.03940297112406,14710.145565986633,109
20,-81.45936177215997,13253.539559364319,59
21,-184.97521596912458,12227.115379333496,70
22,-196.22179638600272,13711.999048233032,75
23,-61.76272660319402,9785.837303161621,72
24,-119.7187417053537,9025.659606933594,88
25,-202.87645923772203,17837.600714683533,105
26,-38.579626517906654,9742.78756070137,71
27,-364.51383762181473,10702.973783254623,91
28,-137.01345538138395,11300.383180618286,109
29,-329.7316746038906,10730.960003852844,92
30,-287.3375278684116,9580.63584804535,92
31,-92.87094482378367,10100.329421043396,87
32,-255.27142673519182,14704.132373809814,113
33,-173.22938377128844,16170.482346534729,83
34,-61.26415844422275,13575.706064224243,96
35,-169.33428485383928,8898.960725784302,71
36,-141.56951048123773,11374.691159248352,103
37,-143.1885861844666,8696.586787223816,102
38,-103.59140600515528,9060.66528224945,66
39,-209.40043089211295,12736.738912582397,86
40,-93.37067074620039,15796.202415466309,87
41,-325.53461458550004,19414.37664794922,110
42,-217.77872626445946,13999.95413684845,116
43,-86.79462586197852,8788.114815235138,64
44,-361.6982385633926,14286.238895893097,105
45,-147.18543011461838,7946.076905250549,67
46,-205.89352176491667,13209.609563827515,79
47,-148.03805920362092,10224.145610332489,109
48,-10.950001042260169,8531.021042346954,67
49,-156.98092803276484,10338.902631759644,99
50,-195.2315093549437,6543.2692222595215,69
51,-115.30840820636485,12819.49689745903,77
52,-149.4231250717135,16350.6604950428,134
53,-141.6602285357187,15328.496223449707,77
54,-188.5611454697812,11243.747905731201,69
55,-145.97484756806472,14844.648921966553,89
56,-131.19910849954184,17345.428171157837,127
57,-314.4117798645115,11000.913539886475,66
58,-166.56502886405215,14681.899068832397,86
59,-374.164516482149,13028.268239974976,90
60,-400.6750849451029,17127.348602294922,114
61,-227.12415808773557,10452.839866638184,93
62,-368.69374575252675,15976.935495376587,117
63,-340.8503618214367,11926.673705101013,115
64,-89.38695116833033,11860.165072441101,91
65,-156.72912943881568,8749.854744434357,78
66,-148.147602635719,11510.561252593994,110
67,-372.93151102718787,9920.543509483337,91
68,-520.1088867516216,11873.729873657227,107
69,-73.39548240034203,8237.550944328308,90
70,-47.55798215703664,15174.937504768372,131
71,-84.86000889390871,6903.875650405884,69
72,-80.03511519305522,13880.373669624329,92
73,-269.68856557517375,12596.115532875061,121
74,-4.429902445438216,11534.241353988647,112
75,-89.33240653568382,12067.296932220459,101
76,-155.94316724252286,13586.319004058838,144
77,-87.5841785715739,13903.694639205933,98
78,-125.23737231615155,12272.731274604797,121
79,-131.14471686540602,15256.444087982178,138
80,-207.47364206797658,15492.074275970459,143
81,-298.3561874191631,10066.831185340881,93
82,18.916253009898384,7685.561467170715,83
83,-434.82190562274167,11394.640433311462,92
84,-288.3008991994549,7453.196990013123,71
85,-326.90797575555166,15865.492255210876,114
86,-343.22174089170926,12342.593195915222,99
87,-183.41414397879166,13670.14304447174,133
88,-509.3987545498734,9366.336867332458,102
89,-285.77193215364326,11290.784755706787,89
90,-306.89550585486757,8975.25567817688,117
91,-391.2974773113426,11067.497158050537,85
92,-108.15552201905034,8105.884160995483,65
93,-322.9759085732865,8963.678280830383,79
94,-202.4718007544377,6851.119051933289,81
95,-258.1646284794768,9860.249318122864,83
96,-174.77183818722,10786.018404960632,89
97,-400.0392621191036,10628.0821018219,100
98,-283.9662937248552,8981.522005081177,102
99,-88.22969000383225,9025.338418960571,98
100,-72.31651066069617,9358.181745529175,93
101,-135.16004106050013,7201.937280654907,108
102,-248.38145148848457,12372.566445350647,94
103,-444.15145121334916,13269.415239334106,125
104,-101.64008477809699,7204.068237781525,73
105,-296.2395270448378,11099.130541324615,144
106,-286.6054158370149,10052.917345046997,111
107,-375.6621823899621,12502.016929626465,97
108,-250.53081720241508,11085.507071495056,117
109,-148.84498768212814,10683.208486557007,98
110,-77.61780913900168,12881.481055259705,132
111,-224.74722040982024,10458.643000602722,112
112,-109.91992242055007,6984.459599494934,90
113,-232.23423623322202,8381.516590118408,63
114,-63.981372607973725,5055.932205200195,61
115,-146.50284620236735,7727.547142982483,69
116,-114.78285909501352,5000.825492858887,70
117,-16.75470122442104,16564.4086933136,142
118,-157.18350128597143,17041.359782218933,161
119,-147.9291642898669,8179.585068225861,99
120,-250.4824410866038,9971.865022182465,123
121,-397.1892186407832,8002.064559936523,100
122,-143.67801123274938,7188.279644012451,82
123,-72.45668978478832,8844.9810628891,106
124,-319.551864702078,9668.308246612549,88
125,-70.1783398629039,5238.804424285889,66
126,-247.54311246453946,14850.414799690247,111
127,-174.09035527526413,14642.18949508667,109
128,-391.9254908568877,6003.318341255188,94
129,-282.06120706989554,11829.371809005737,110
130,-370.1729312285227,6612.997539997101,91
131,-334.5996448945342,13077.364740848541,132
132,-173.6352176552326,6644.60142326355,83
133,-143.6646500185151,7818.449817657471,100
134,-120.14079516622613,11031.310599327087,114
135,-104.1129256030387,6626.806739807129,85
136,-326.24934127935387,9323.210037231445,106
137,-378.27766595173887,8458.865647315979,90
138,-306.02871760682933,8426.73981809616,122
139,-492.12284078860006,10884.11897611618,114
140,-61.938240057526386,5311.508339881897,67
141,-394.2028184247788,11136.214179039001,98
142,-31.628771034353164,9025.202795028687,122
143,-151.31342617692536,10268.995958328247,99
144,-190.01223670606842,12785.320079803467,119
145,-275.9374873683227,8298.351634979248,118
146,-124.90155766629469,8876.79065990448,138
147,-144.3456677417811,13756.99709701538,140
148,-95.6758482903759,8620.670497894287,106
149,-360.56426168910576,7317.280306816101,116
150,-234.36670407665022,10212.568261146545,150
151,-78.1307818871873,7922.430084228516,84
152,-67.8028675447016,8523.757936477661,64
153,-132.0567045182559,3322.2692670822144,90
154,-223.18205889239965,14272.56154537201,109
155,-423.70100526775076,11953.68588924408,113
156,-91.58185691266087,5025.691287994385,70
157,-178.2137858717328,7222.448588371277,82
158,-68.6506454486613,3792.1469926834106,66
159,-185.65286819152976,5345.01904296875,64
160,-139.5683793849339,10490.647711753845,112
161,-59.77849169904528,2944.1649713516235,64
162,-372.38054450051095,6863.954869270325,97
163,-96.32444650495184,6551.842994689941,69
164,-387.8340283982298,12243.87524318695,122
165,-90.13835829734556,8168.7729234695435,103
166,-204.4500926970605,11457.425931930542,109
167,-198.10136033022417,5832.15066242218,84
168,-338.69319192713067,5048.106951713562,83
169,-233.09900796209075,7274.77857875824,117
170,-332.8612160166265,7985.749666213989,103
171,-89.40325727171894,7724.383491516113,77
172,-67.21071385615119,7493.669666290283,84
173,-52.14325349545909,5510.870393753052,90
174,-85.16003382915412,4120.733407020569,73
175,-85.12268542682537,3352.363166809082,65
176,-221.0319649226239,7760.002164840698,116
177,-66.83794459074004,4581.547312736511,76
178,-261.499103058866,6022.2759046554565,105
179,-169.64581995773548,9628.443457603455,171
180,-254.27054193864072,7556.022724151611,106
181,-64.87014103080057,10149.820816040039,122
182,-501.65851607837556,8029.495527267456,134
