episode,base_score,base_loss,base_length,opt_score,opt_loss,opt_length,duel_score,duel_loss,duel_length,double_score,double_loss,double_length,duel_double_score,duel_double_loss,duel_double_length
0,-212.5296471,92.45251274,93,-328.3583219,363.0103197,108,-249.7579462,257.61028,99,-15.16009425,4068.119493,111,-46.2289277,1078.02289,156
1,-404.4528532,7668.23209,92,-115.730556,9570.766183,124,-381.6091523,8437.754177,91,-89.97016037,18105.05375,99,-289.9533125,8936.126153,97
2,-259.0703622,11372.33856,83,-70.97429676,5196.756685,87,-351.1704738,15976.03271,94,-467.5681,14275.61431,119,-146.177577,11163.03827,114
3,-332.4724866,6352.294226,112,-220.8024674,8874.935075,78,-130.5902436,17376.29806,89,-295.0312892,14856.6676,104,-212.3716361,9625.316577,132
4,-201.0156315,8237.612118,79,-83.99396891,10897.69365,177,-199.8555885,10958.28618,75,-48.5913591,13967.87553,82,-390.0344107,4853.692104,97
5,-24.36012011,9673.139801,66,-122.0541855,7624.408979,92,-155.2587507,11978.30816,93,-39.9771897,8797.955534,99,-497.5636734,8395.501339,83
6,-34.8199015,3948.060598,59,-438.4584056,13964.19016,184,-458.0428212,10802.22313,141,-107.1619037,14659.05487,162,-149.5742791,4675.550021,75
7,-327.4973631,11789.38474,100,-501.9874325,5185.520843,80,-88.61221417,14694.00317,110,-224.4643355,10336.70986,165,-120.3616824,5720.253137,127
8,-54.45052464,13426.95226,126,-50.86674308,8857.948277,113,-589.1197085,10107.64358,94,-21.10592878,10287.06515,128,-436.3775673,7248.539701,92
9,-149.7811248,19700.46265,132,-249.0933585,9689.453474,98,-432.2799139,5688.015032,80,-229.1695151,10257.71775,114,-454.2374684,9033.506521,115
10,-451.862958,10960.04391,87,-271.154101,7890.940376,97,-478.9446818,8571.909985,97,-297.7381259,9171.487953,101,-345.7669973,9022.79627,99
11,-181.5164824,11104.7852,65,-88.72816593,7842.447529,91,-83.91186988,7644.350233,68,-198.1978797,6513.822175,127,-418.5973446,9195.120358,140
12,-142.1262626,11918.0527,68,-75.32478481,8661.643839,132,-136.5694378,6070.207215,101,-221.3379413,12057.35589,165,-353.0639047,6766.460384,89
