,Scores,Loss,Episode length
0,-328.3583218832061,363.01031970977783,108
1,-115.7305559635351,9570.766182899475,124
2,-70.97429675706402,5196.756685256958,87
3,-220.80246738517434,8874.935074806213,78
4,-83.99396891332182,10897.69364643097,177
5,-122.05418548098207,7624.408978939056,92
6,-438.45840555475945,13964.190160751343,184
7,-501.9874325388957,5185.520842552185,80
8,-50.86674308281414,8857.948276519775,113
9,-249.09335854719117,9689.4534740448,98
10,-271.15410096640676,7890.940376281738,97
11,-88.72816592990327,7842.447528839111,91
12,-75.32478481413584,8661.643838882446,132
13,-186.81561310757093,8194.665132522583,110
14,-188.78656517542183,11514.643060684204,189
15,-150.50461917699258,8306.518974781036,132
16,-259.4362583524086,11137.276569366455,163
17,-177.99226546118345,10312.60682296753,145
18,-153.3064985403779,9240.199877738953,155
19,-101.74613822169395,11426.354029655457,215
20,-87.76445194238282,9290.112107753754,114
21,-27.167488124623674,16630.176863193512,264
22,-129.82217956497038,7615.299543380737,115
23,-189.68792242717484,22707.469758987427,406
24,-162.04098595459578,32863.102612018585,634
25,-146.39333895437127,12340.272981643677,294
26,-31.27404956951476,13939.970823287964,267
27,-229.9289068229638,14221.58701992035,233
28,-148.39231424037064,5794.432053565979,102
29,-273.1582399342555,7631.295771121979,163
30,-180.92283001749854,8143.838270187378,275
31,-223.98536430912367,6850.878187656403,138
32,-67.29240711022922,6646.709458351135,195
33,-90.42252232659447,6146.478539943695,179
34,-477.0999147264469,6431.801737785339,185
35,-139.83986382160543,10706.83472251892,181
36,-112.44674946631727,5173.4072341918945,98
37,-190.88194256076224,6781.720575332642,165
38,-446.59334321244506,3807.11861038208,102
39,-149.81692525772655,7775.07789516449,169
40,-233.16838599865892,8222.244368553162,226
41,-454.77642373202826,7791.717037200928,183
42,-207.6458763408743,6136.219834327698,164
43,-143.11706534204876,7705.350193023682,227
44,-315.1724495766583,9024.043068885803,242
45,-253.9618965040503,4631.9662437438965,145
46,-40.68320395226726,42982.74561738968,1000
47,-92.47135217681047,4380.319444656372,118
48,-153.113618970777,5771.063407897949,200
49,-192.89144356204892,5244.291638374329,107
50,-189.0021462212542,6667.424712181091,180
51,-423.4354366609767,8852.698134422302,203
52,-179.03920407212792,4843.734972953796,203
53,-253.2126280714558,7391.198311805725,169
54,-211.33766923299385,8559.44121170044,257
55,-125.29054577000231,7806.8563985824585,230
56,-180.525456875406,8398.013880729675,254
57,-227.46094814327944,6634.225651741028,213
