episode,1000_step_score,1000_step_loss,1000_step_length,500_step_score,500_step_loss,500_step_length,250_step_score,250_step_loss,250_step_length
0,-46.2289277,1078.02289,156,-185.3034323,185.625082,124,-168.7014535,136.1116366,117
1,-289.9533125,8936.126153,97,-151.5163988,5224.066425,99,-108.2292333,5699.614705,89
2,-146.177577,11163.03827,114,-183.8829377,10447.04797,111,-361.1180437,10154.91055,87
3,-212.3716361,9625.316577,132,-309.0417547,8129.015968,73,-551.4120105,11117.57886,96
4,-390.0344107,4853.692104,97,-4.969670227,6622.44568,87,-89.00715428,7425.086336,73
5,-497.5636734,8395.501339,83,-123.3137512,9996.519309,95,-376.4929343,8114.083296,76
6,-149.5742791,4675.550021,75,-7.832798833,12631.97182,125,-115.4164382,13599.10334,103
7,-120.3616824,5720.253137,127,-683.6068989,14559.24173,169,-121.6719223,10962.39221,134
8,-436.3775673,7248.539701,92,-76.97342451,13915.1895,137,-202.2623373,9809.367044,111
9,-454.2374684,9033.506521,115,-63.86965387,8803.567041,107,-170.9799899,17538.52152,250
10,-345.7669973,9022.79627,99,-162.6225506,19344.87458,252,-62.13820747,9967.992026,151
11,-418.5973446,9195.120358,140,-189.6436852,9518.836717,184,-84.69723531,3097.669079,90
12,-353.0639047,6766.460384,89,-272.1444171,7706.68231,146,-129.3686767,6331.449807,105
13,-250.1974357,6205.561464,77,-74.94706884,11145.17301,189,-58.58581416,7347.886409,120
14,-282.6063155,8562.939407,141,-81.49332892,5479.807783,103,-293.0988587,6717.366186,116
15,-365.78231,11713.39679,161,-24.74820544,9325.516231,133,-138.2939992,6406.2345,101
16,-358.4158022,11994.79504,151,-99.93142714,8609.390448,95,-328.8665307,9512.623455,133
17,-102.4925356,12846.52893,191,-229.4406222,8338.632045,114,-228.8165355,4071.379021,97
18,-195.7883701,6443.991035,97,-110.6866521,16944.32739,367,-234.5206287,4367.905913,91
19,-218.744334,12349.20215,242,-132.93304,13720.00738,271,-489.1763481,12020.41825,209
20,-210.9484722,7484.78872,116,-299.2545494,20317.32774,427,-88.84690931,11023.69613,219
21,-117.0496478,6480.859372,103,-77.15517347,16807.12932,394,-196.5099474,5485.167778,93
22,-347.3644471,11330.5849,178,-188.4664945,7364.357608,150,58.16038083,6662.93563,144
23,-218.9073378,8955.043247,154,-279.9674368,4306.384438,105,-14.16653626,17328.62545,250
24,-163.1826281,11426.91527,237,-210.7128787,16390.35248,406,-431.1213575,11773.80456,244
25,-405.6759663,10034.08116,175,-126.6094925,14665.77872,358,-417.5478892,6547.154988,79
26,-279.5137077,9350.268381,147,-479.9140082,7173.015465,222,-462.1410804,5012.009868,88
27,-88.29461001,39961.47148,781,-568.0160124,8227.656733,203,-248.8316645,7222.304017,119
28,-72.18560758,14268.48505,317,-150.4246118,6325.810637,166,-116.1474028,8481.337763,163
29,-296.3609769,8395.691267,205,-326.1807667,4800.615301,114,-129.7750529,5529.728312,117
30,-375.4371571,27876.53919,890,-462.1876017,5078.054857,148,-95.77078739,14854.44094,250
31,-100.5076996,5510.266829,121,-415.2417414,5745.063505,133,-197.2275458,12004.36998,250
32,-126.8263161,14233.71318,445,-339.3174262,5259.873146,101,-243.0316779,9540.871696,211
33,-80.40298509,19694.82911,523,-353.0642606,4585.682402,117,-96.51096346,6033.981199,133
34,-224.8488141,20322.13463,519,-53.73289384,5944.69277,157,-411.8542516,7494.025301,169
35,-314.7398394,15162.61635,517,-583.2073682,4666.073475,144,-92.1347114,10225.21342,250
36,-477.3912277,11782.65304,388,-563.968796,5848.073755,160,-252.289443,6278.141316,177
37,-72.6591072,4426.007079,185,-757.6587539,6322.921643,138,-99.36083904,7685.235214,178
38,-290.7430352,12189.41532,416,-269.6322167,8015.297346,177,-135.3340268,3363.21701,122
39,-205.1366599,13443.851,487,-238.8632958,5185.099633,186,-300.8743085,5431.963442,179
40,-92.91961271,7436.162129,224,-130.2928131,6362.17005,131,-59.76427444,11612.98953,250
41,-172.6346044,7112.245194,360,-165.5748698,9635.101505,225,-64.73056938,11122.57635,250
42,-272.7531804,10707.80819,390,-206.1052582,6671.153767,229,-50.58330829,12913.6719,250
43,-189.6557525,23971.16347,1000,-599.4092626,13631.41447,330,-50.49061104,11051.76691,250
44,-279.0913266,10396.01817,423,-531.2880549,4576.44885,152,-41.30257394,9700.075013,250
45,-447.4975842,8942.067734,390,0.307405203,6993.059868,184,-291.1652364,6196.550064,233
46,-277.0631046,8756.251476,386,-195.8574374,9740.316176,247,-709.6840362,6082.01201,173
47,-69.21211783,4868.074965,288,-416.5003601,11652.45976,250,-126.9634292,5011.97164,157
48,-258.8087964,6825.992653,301,-373.4005788,6816.193361,193,-96.65888144,6220.84164,163
