agent_timesteps_total,ppo_episode_reward_max,ppo_episode_reward_min,ppo_episode_reward_mean,ppo_episode_len_mean,ppo_episodes_this_iter,ppo_num_healthy_workers,ppo_num_agent_steps_sampled,ppo_num_agent_steps_trained,ppo_num_env_steps_sampled,ppo_num_env_steps_trained,ppo_num_env_steps_sampled_this_iter,ppo_num_env_steps_trained_this_iter,ppo_timesteps_total,dqn_agent_timesteps_total,dqn_episode_reward_max,dqn_episode_reward_min,dqn_episode_reward_mean,dqn_episode_len_mean,dqn_episodes_this_iter,dqn_num_healthy_workers,dqn_num_agent_steps_sampled,dqn_num_agent_steps_trained,dqn_num_env_steps_sampled,dqn_num_env_steps_trained,dqn_num_env_steps_sampled_this_iter,dqn_num_env_steps_trained_this_iter,dqn_timesteps_total
5000,-19,-21,-20,1039.5,2,2,5000,5000,5000,5000,5000,5000,5000,5000,-21,-21,-21,970.5,0,2,5000,16032,5000,16032,1000,4000,5000
10000,-19,-21,-20.375,938.875,6,2,10000,10000,10000,10000,5000,5000,10000,10000,-19,-21,-20.42857143,952.7142857,1,2,10000,36032,10000,36032,1000,4000,10000
15000,-19,-21,-20.64285714,903,6,2,15000,15000,15000,15000,5000,5000,15000,15000,-18,-21,-20.30769231,951.6153846,1,2,15000,56032,15000,56032,1000,4000,15000
20000,-19,-21,-20.61111111,922.8888889,4,2,20000,20000,20000,20000,5000,5000,20000,20000,-18,-21,-20.47368421,924.5789474,1,2,20000,76032,20000,76032,1000,4000,20000
25000,-19,-21,-20.625,935.7083333,6,2,25000,25000,25000,25000,5000,5000,25000,25000,-18,-21,-20.48,919.68,2,2,25000,96032,25000,96032,1000,4000,25000
30000,-19,-21,-20.56666667,932.7333333,6,2,30000,30000,30000,30000,5000,5000,30000,30000,-18,-21,-20.4516129,915.2580645,2,2,30000,116032,30000,116032,1000,4000,30000
35000,-19,-21,-20.58333333,920.4166667,6,2,35000,35000,35000,35000,5000,5000,35000,35000,-18,-21,-20.41666667,910.0277778,1,2,35000,136032,35000,136032,1000,4000,35000
40000,-19,-21,-20.58536585,923.5121951,5,2,40000,40000,40000,40000,5000,5000,40000,40000,-18,-21,-20.43902439,912.4146341,1,2,40000,156032,40000,156032,1000,4000,40000
45000,-19,-21,-20.55319149,919.5319149,6,2,45000,45000,45000,45000,5000,5000,45000,45000,-18,-21,-20.34042553,918.1276596,1,2,45000,176032,45000,176032,1000,4000,45000
50000,-19,-21,-20.51923077,920.75,5,2,50000,50000,50000,50000,5000,5000,50000,50000,-18,-21,-20.35849057,915.3584906,1,2,50000,196032,50000,196032,1000,4000,50000
