,x,y_lower,y,y_upper
0,0.0,0.0275,0.036,0.048
1,100.0,0.032,0.046,0.0625
2,200.0,0.0355,0.054,0.075
3,300.0,0.034,0.057,0.0765
4,400.0,0.038,0.067,0.11
5,500.0,0.0415,0.075,0.1225
6,600.0,0.048,0.072,0.1245
7,700.0,0.0515,0.082,0.1365
8,800.0,0.058,0.096,0.146
9,900.0,0.0675,0.112,0.1685
10,1000.0,0.077,0.107,0.1545
11,1100.0,0.09,0.12,0.161
12,1200.0,0.08,0.112,0.1425
13,1300.0,0.0915,0.139,0.183
14,1400.0,0.0955,0.136,0.194
15,1500.0,0.102,0.13,0.166
16,1600.0,0.105,0.14,0.194
17,1700.0,0.1135,0.132,0.154
18,1800.0,0.116,0.152,0.1865
19,1900.0,0.1295,0.156,0.186
20,2000.0,0.1535,0.182,0.234
21,2100.0,0.104,0.164,0.252
22,2200.0,0.144,0.2,0.2565
23,2300.0,0.1235,0.166,0.2485
24,2400.0,0.14,0.179,0.2445
25,2500.0,0.122,0.152,0.1825
26,2600.0,0.128,0.163,0.211
27,2700.0,0.1135,0.143,0.177
28,2800.0,0.147,0.21,0.259
29,2900.0,0.1235,0.17099999999999999,0.211
30,3000.0,0.154,0.209,0.2785
31,3100.0,0.1355,0.166,0.206
32,3200.0,0.15,0.193,0.242
33,3300.0,0.1455,0.182,0.2485
34,3400.0,0.1325,0.173,0.2195
35,3500.0,0.1455,0.18,0.223
36,3600.0,0.1215,0.172,0.2085
37,3700.0,0.1395,0.185,0.2495
38,3800.0,0.116,0.168,0.202
39,3900.0,0.135,0.183,0.2425
40,4000.0,0.132,0.185,0.259
41,4100.0,0.144,0.198,0.2605
42,4200.0,0.157,0.203,0.281
43,4300.0,0.184,0.222,0.268
44,4400.0,0.173,0.211,0.2385
45,4500.0,0.17149999999999999,0.216,0.258
46,4600.0,0.166,0.208,0.268
47,4700.0,0.1655,0.23,0.305
48,4800.0,0.2,0.245,0.3
49,4900.0,0.176,0.246,0.327
50,5000.0,0.1815,0.253,0.325
51,5100.0,0.1495,0.193,0.2405
52,5200.0,0.1335,0.195,0.2565
53,5300.0,0.17049999999999998,0.255,0.3485
54,5400.0,0.1955,0.244,0.3285
55,5500.0,0.154,0.209,0.26
56,5600.0,0.155,0.232,0.3055
57,5700.0,0.1735,0.229,0.328
58,5800.0,0.1655,0.217,0.2945
59,5900.0,0.1455,0.221,0.3135
60,6000.0,0.17149999999999999,0.239,0.3185
61,6100.0,0.1995,0.275,0.36
62,6200.0,0.198,0.244,0.2975
63,6300.0,0.1555,0.223,0.2855
64,6400.0,0.1995,0.239,0.288
65,6500.0,0.184,0.233,0.307
66,6600.0,0.175,0.25,0.3505
67,6700.0,0.1575,0.238,0.277
68,6800.0,0.224,0.285,0.3745
69,6900.0,0.2135,0.256,0.3045
70,7000.0,0.1955,0.254,0.339
71,7100.0,0.204,0.28200000000000003,0.338
72,7200.0,0.184,0.238,0.282
73,7300.0,0.208,0.277,0.3645
74,7400.0,0.2195,0.277,0.333
75,7500.0,0.201,0.302,0.3885
76,7600.0,0.206,0.248,0.292
77,7700.0,0.228,0.297,0.3325
78,7800.0,0.248,0.301,0.3925
79,7900.0,0.213,0.3,0.3725
80,8000.0,0.206,0.316,0.4045
81,8100.0,0.2195,0.308,0.4
82,8200.0,0.2265,0.278,0.38
83,8300.0,0.2255,0.315,0.412
84,8400.0,0.2195,0.279,0.335
85,8500.0,0.1815,0.24,0.3055
86,8600.0,0.2255,0.282,0.355
87,8700.0,0.2215,0.296,0.3665
88,8800.0,0.2135,0.317,0.463
89,8900.0,0.2435,0.322,0.4425
90,9000.0,0.2235,0.29,0.354
91,9100.0,0.232,0.329,0.425
92,9200.0,0.248,0.322,0.4245
93,9300.0,0.197,0.279,0.3695
94,9400.0,0.2375,0.297,0.368
95,9500.0,0.2395,0.309,0.399
96,9600.0,0.246,0.362,0.453
97,9700.0,0.228,0.289,0.3775
98,9800.0,0.229,0.301,0.3605
99,9900.0,0.2075,0.298,0.361
100,10000.0,0.2455,0.336,0.403
101,10100.0,0.2615,0.339,0.404
102,10200.0,0.2375,0.308,0.3745
103,10300.0,0.2485,0.344,0.4565
104,10400.0,0.227,0.306,0.3745
105,10500.0,0.2375,0.313,0.3855
106,10600.0,0.291,0.342,0.38
107,10700.0,0.2435,0.314,0.40650000000000003
108,10800.0,0.268,0.324,0.3785
109,10900.0,0.2235,0.302,0.3955
110,11000.0,0.261,0.332,0.4655
111,11100.0,0.2435,0.319,0.4285
112,11200.0,0.263,0.338,0.432
113,11300.0,0.2475,0.309,0.393
114,11400.0,0.253,0.324,0.3785
115,11500.0,0.2395,0.308,0.375
116,11600.0,0.2615,0.337,0.4245
117,11700.0,0.2615,0.347,0.446
118,11800.0,0.29,0.318,0.355
119,11900.0,0.2815,0.344,0.432
120,12000.0,0.29,0.368,0.46950000000000003
121,12100.0,0.2595,0.319,0.4245
122,12200.0,0.276,0.371,0.4665
123,12300.0,0.275,0.337,0.41
124,12400.0,0.2555,0.354,0.4635
125,12500.0,0.268,0.32,0.379
126,12600.0,0.248,0.305,0.384
127,12700.0,0.2755,0.316,0.369
128,12800.0,0.2575,0.319,0.37
129,12900.0,0.322,0.41,0.539
130,13000.0,0.2275,0.32,0.4615
131,13100.0,0.277,0.363,0.4595
132,13200.0,0.287,0.364,0.4475
133,13300.0,0.2995,0.394,0.5694999999999999
134,13400.0,0.2705,0.352,0.4655
