,x,y_lower,y,y_upper
0,1000.0,0.14,0.18,0.22
1,2000.0,0.03,0.05,0.11
2,3000.0,0.21,0.25,0.29
3,4000.0,0.15,0.18,0.23
4,5000.0,0.1,0.11,0.14
5,6000.0,0.14,0.16,0.18
6,7000.0,0.09,0.11,0.14
7,8000.0,0.15,0.16,0.18
8,9000.0,0.3,0.39,0.49
9,10000.0,0.16,0.18,0.21
10,11000.0,0.19,0.23,0.29
11,12000.0,0.2,0.25,0.31
12,13000.0,0.27,0.31,0.35
13,14000.0,0.17,0.24,0.32
14,15000.0,0.21,0.24,0.27
15,16000.0,0.18,0.21,0.23
16,17000.0,0.13,0.14,0.17
17,18000.0,0.27,0.38,0.51
18,19000.0,0.26,0.31,0.36
19,20000.0,0.11,0.14,0.17
20,21000.0,0.23,0.27,0.31
