,x,y_lower,y,y_upper
0,0.0,0.026,0.035,0.0545
1,100.0,0.034,0.046,0.074
2,200.0,0.053,0.074,0.089
3,300.0,0.081,0.107,0.1545
4,400.0,0.076,0.112,0.146
5,500.0,0.104,0.14,0.168
6,600.0,0.11599999999999999,0.158,0.2115
7,700.0,0.118,0.146,0.2085
8,800.0,0.13,0.172,0.256
9,900.0,0.125,0.177,0.2325
10,1000.0,0.1455,0.185,0.2565
11,1100.0,0.1365,0.187,0.27
12,1200.0,0.134,0.176,0.2705
13,1300.0,0.165,0.221,0.3175
14,1400.0,0.1495,0.226,0.3375
15,1500.0,0.172,0.225,0.2885
16,1600.0,0.158,0.224,0.3245
17,1700.0,0.1725,0.26,0.3545
18,1800.0,0.155,0.239,0.3225
19,1900.0,0.255,0.318,0.4885
20,2000.0,0.1865,0.291,0.3895
21,2100.0,0.194,0.279,0.4155
22,2200.0,0.179,0.254,0.338
23,2300.0,0.241,0.311,0.458
24,2400.0,0.161,0.295,0.479
25,2500.0,0.2575,0.36,0.4805
26,2600.0,0.207,0.334,0.47050000000000003
27,2700.0,0.244,0.384,0.5845
28,2800.0,0.2875,0.421,0.643
29,2900.0,0.2235,0.366,0.596
30,3000.0,0.22,0.338,0.497
31,3100.0,0.272,0.373,0.611
32,3200.0,0.3065,0.432,0.725
33,3300.0,0.2195,0.311,0.5275000000000001
34,3400.0,0.34349999999999997,0.497,0.75
35,3500.0,0.286,0.468,0.8314999999999999
36,3600.0,0.3275,0.447,0.732
37,3700.0,0.3075,0.539,0.9380000000000001
38,3800.0,0.372,0.604,0.8955
39,3900.0,0.3325,0.46699999999999997,0.7625
40,4000.0,0.3075,0.539,1.0
41,4100.0,0.2775,0.418,0.663
42,4200.0,0.27,0.462,0.6880000000000001
43,4300.0,0.339,0.566,0.872
44,4400.0,0.3355,0.529,0.9165000000000001
45,4500.0,0.3645,0.513,0.7775000000000001
46,4600.0,0.263,0.364,0.485
47,4700.0,0.3195,0.534,0.8174999999999999
48,4800.0,0.369,0.605,0.9464999999999999
49,4900.0,0.283,0.513,0.7645
50,5000.0,0.293,0.392,0.604
51,5100.0,0.3315,0.449,0.7124999999999999
