,x,y_lower,y,y_upper
0,0.0,0.032,0.042,0.062
1,100.0,0.028,0.04,0.055
2,200.0,0.03,0.04,0.0565
3,300.0,0.0275,0.036,0.048
4,400.0,0.032,0.038,0.054
5,500.0,0.03,0.039,0.06
6,600.0,0.03,0.04,0.056
7,700.0,0.028,0.038,0.0565
8,800.0,0.03,0.038,0.05
9,900.0,0.028,0.04,0.062
10,1000.0,0.028,0.038,0.056
11,1100.0,0.0295,0.038,0.0525
12,1200.0,0.0295,0.038,0.0465
13,1300.0,0.028,0.034,0.0525
14,1400.0,0.026,0.039,0.0565
15,1500.0,0.028,0.036,0.048
16,1600.0,0.026,0.036,0.052
17,1700.0,0.03,0.042,0.056
18,1800.0,0.03,0.039,0.05
19,1900.0,0.028,0.038,0.058
20,2000.0,0.026,0.034,0.0465
21,2100.0,0.026,0.034,0.052
22,2200.0,0.028,0.038,0.056
23,2300.0,0.032,0.04,0.058
24,2400.0,0.028,0.038,0.052
25,2500.0,0.03,0.04,0.0565
26,2600.0,0.028,0.038,0.0505
27,2700.0,0.028,0.036,0.048
28,2800.0,0.028,0.036,0.046
29,2900.0,0.03,0.037,0.054
30,3000.0,0.03,0.04,0.0525
31,3100.0,0.026,0.032,0.046
32,3200.0,0.028,0.039,0.05
33,3300.0,0.03,0.04,0.056
34,3400.0,0.026,0.036,0.0545
35,3500.0,0.026,0.036,0.05
36,3600.0,0.028,0.034,0.0545
37,3700.0,0.0295,0.04,0.0545
38,3800.0,0.028,0.036,0.056
39,3900.0,0.028,0.037,0.054
40,4000.0,0.03,0.038,0.055
41,4100.0,0.03,0.038,0.054
42,4200.0,0.028,0.038,0.0525
43,4300.0,0.03,0.04,0.0605
44,4400.0,0.028,0.042,0.0545
45,4500.0,0.028,0.037,0.048
46,4600.0,0.026,0.038,0.0525
47,4700.0,0.028,0.034,0.056
48,4800.0,0.0315,0.039,0.056
49,4900.0,0.028,0.04,0.058
50,5000.0,0.028,0.037,0.0505
51,5100.0,0.026,0.036,0.05
52,5200.0,0.03,0.039,0.056
53,5300.0,0.0295,0.039,0.052
54,5400.0,0.0275,0.039,0.0545
55,5500.0,0.026,0.036,0.0525
56,5600.0,0.03,0.04,0.063
57,5700.0,0.0295,0.036,0.05
58,5800.0,0.026,0.038,0.0685
59,5900.0,0.026,0.035,0.0525
60,6000.0,0.028,0.036,0.054
61,6100.0,0.03,0.038,0.0525
62,6200.0,0.0295,0.044,0.058
63,6300.0,0.026,0.035,0.046
64,6400.0,0.032,0.045,0.0625
65,6500.0,0.028,0.038,0.056
66,6600.0,0.026,0.034,0.0485
67,6700.0,0.026,0.034,0.052
68,6800.0,0.028,0.036,0.044
69,6900.0,0.0275,0.036,0.048
70,7000.0,0.026,0.038,0.0565
71,7100.0,0.026,0.033,0.043000000000000003
72,7200.0,0.0295,0.038,0.052
73,7300.0,0.028,0.036,0.054
74,7400.0,0.026,0.033,0.048
75,7500.0,0.0315,0.04,0.0545
76,7600.0,0.0295,0.043,0.062
77,7700.0,0.026,0.038,0.0645
78,7800.0,0.028,0.04,0.0585
79,7900.0,0.028,0.038,0.054
80,8000.0,0.028,0.038,0.054
81,8100.0,0.028,0.036,0.0585
82,8200.0,0.028,0.04,0.0645
83,8300.0,0.028,0.041,0.054
84,8400.0,0.028,0.037,0.0525
85,8500.0,0.028,0.038,0.054
86,8600.0,0.0275,0.032,0.05
87,8700.0,0.028,0.04,0.0545
88,8800.0,0.032,0.042,0.056
89,8900.0,0.028,0.036,0.0525
90,9000.0,0.028,0.036,0.048
91,9100.0,0.0255,0.038,0.054
92,9200.0,0.028,0.038,0.052
93,9300.0,0.03,0.036,0.05
94,9400.0,0.028,0.038,0.054
95,9500.0,0.026,0.035,0.0505
96,9600.0,0.028,0.038,0.052
97,9700.0,0.026,0.038,0.06
98,9800.0,0.028,0.041,0.0585
99,9900.0,0.0275,0.038,0.054
100,10000.0,0.0295,0.038,0.056
101,10100.0,0.028,0.038,0.051000000000000004
102,10200.0,0.028,0.038,0.06
103,10300.0,0.03,0.036,0.0545
104,10400.0,0.026,0.037,0.0565
105,10500.0,0.03,0.036,0.0525
106,10600.0,0.03,0.04,0.06
107,10700.0,0.026,0.036,0.0465
108,10800.0,0.026,0.04,0.058
109,10900.0,0.028,0.036,0.0525
110,11000.0,0.028,0.038,0.056
111,11100.0,0.028,0.037,0.056
112,11200.0,0.0275,0.04,0.052
113,11300.0,0.026,0.034,0.052
114,11400.0,0.03,0.043,0.058
115,11500.0,0.03,0.041,0.06
116,11600.0,0.026,0.036,0.056
117,11700.0,0.026,0.036,0.056
118,11800.0,0.028,0.038,0.052
119,11900.0,0.0295,0.036,0.0445
120,12000.0,0.026,0.039,0.056
121,12100.0,0.0275,0.037,0.05
122,12200.0,0.026,0.036,0.051000000000000004
123,12300.0,0.028,0.039,0.06
124,12400.0,0.028,0.038,0.052
125,12500.0,0.0275,0.04,0.054
126,12600.0,0.03,0.037,0.056
127,12700.0,0.03,0.036,0.05
128,12800.0,0.028,0.038,0.054
129,12900.0,0.0275,0.036,0.048
130,13000.0,0.032,0.042,0.056
131,13100.0,0.0275,0.036,0.0445
132,13200.0,0.026,0.034,0.0525
133,13300.0,0.03,0.04,0.054
134,13400.0,0.028,0.038,0.058
135,13500.0,0.03,0.042,0.056
136,13600.0,0.032,0.044,0.0565
137,13700.0,0.03,0.037,0.054
138,13800.0,0.0295,0.038,0.06
139,13900.0,0.026,0.038,0.0585
140,14000.0,0.028,0.036,0.0525
141,14100.0,0.028,0.039,0.052
142,14200.0,0.03,0.038,0.058
143,14300.0,0.0295,0.036,0.052
144,14400.0,0.028,0.039,0.054
145,14500.0,0.028,0.034,0.05
146,14600.0,0.028,0.036,0.048
147,14700.0,0.028,0.035,0.048
148,14800.0,0.03,0.04,0.058
149,14900.0,0.0275,0.037,0.0525
150,15000.0,0.0275,0.036,0.051500000000000004
151,15100.0,0.026,0.034,0.0505
152,15200.0,0.028,0.038,0.054
153,15300.0,0.0295,0.038,0.054
154,15400.0,0.026,0.038,0.05
155,15500.0,0.028,0.037,0.052
156,15600.0,0.0295,0.039,0.05
157,15700.0,0.028,0.04,0.0625
158,15800.0,0.028,0.038,0.054
159,15900.0,0.0295,0.034,0.051000000000000004
160,16000.0,0.03,0.04,0.064
161,16100.0,0.028,0.036,0.046
162,16200.0,0.03,0.043,0.056
163,16300.0,0.028,0.036,0.056
164,16400.0,0.0295,0.037,0.0565
165,16500.0,0.028,0.04,0.0545
166,16600.0,0.028,0.042,0.053
167,16700.0,0.028,0.039,0.056
168,16800.0,0.03,0.038,0.054
169,16900.0,0.028,0.041,0.054
170,17000.0,0.03,0.04,0.0505
171,17100.0,0.0295,0.041,0.056
172,17200.0,0.028,0.038,0.054
